"Product","Customer","Qtr 1","Qtr 2","Qtr 3","Qtr 4"
"Original Frankfurter grüne Soße","VAFFE","","","$48.75",""
"Original Frankfurter grüne Soße","WHITC","$296.40","","",""
"Outback Lager","AROUT","$270.00","","","$357.00"
"Outback Lager","BSBEV","","$105.00","",""
"Outback Lager","ERNSH","","","","$114.00"
"Outback Lager","GREAL","","","$213.75",""
"Outback Lager","HILAA","$144.00","","",""
"Outback Lager","ISLAT","","","$300.00",""
"Outback Lager","KOENE","","$189.00","",""
"Outback Lager","LILAS","","","","$525.00"
"Outback Lager","LINOD","$648.00","","","$337.50"
"Outback Lager","NORTS","","$90.00","",""
"Outback Lager","QUEEN","","","$570.00",""
"Outback Lager","QUICK","","","","$750.00"
"Outback Lager","RICSU","","","","$600.00"
"Outback Lager","WANDK","","","$168.75",""
"Outback Lager","WELLI","$86.40","","",""
"Pâté chinois","AROUT","","","","$504.00"
"Pâté chinois","BLONP","","$410.40","",""
"Pâté chinois","FAMIA","","","","$144.00"
"Pâté chinois","HILAA","$36.48","","",""
"Pâté chinois","KOENE","","","$273.60",""
"Pâté chinois","LAMAI","$144.00","","",""
"Pâté chinois","LILAS","$864.00","","",""
"Pâté chinois","LINOD","$518.40","","",""
"Pâté chinois","MAISD","","$336.00","",""
"Pâté chinois","QUEEN","","","","$288.00"
"Pâté chinois","QUICK","$2,073.60","","",""
"Pâté chinois","RATTC","","$570.00","",""
"Pâté chinois","SIMOB","","","","$1,080.00"
"Pâté chinois","TRADH","","","$384.00",""
"Pâté chinois","WANDK","","","$86.40",""
"Pâté chinois","WILMK","","","$120.00",""
"Pavlova","BERGS","","$188.46","",""
"Pavlova","BONAP","","","","$248.66"
"Pavlova","ERNSH","$248.11","","","$1,134.25"
"Pavlova","FRANK","","","$471.15",""
"Pavlova","FRANR","","","$174.50",""
"Pavlova","FURIB","","$593.30","",""
"Pavlova","KOENE","","","","$349.00"
"Pavlova","LAMAI","$222.40","","",""
"Pavlova","MEREP","$222.40","","$497.32",""
"Pavlova","MORGK","","","","$349.00"
"Pavlova","OLDWO","","","$654.38","$349.00"
"Pavlova","OTTIK","","$497.32","",""
"Pavlova","PICCO","$250.20","","",""
"Pavlova","QUICK","","$872.50","",""
"Pavlova","SAVEA","$578.93","","",""
"Pavlova","SPECD","","","","$52.35"
"Pavlova","WARTH","","$244.30","",""
"Pavlova","WHITC","$413.52","","",""
"Pavlova","WILMK","","","$52.35",""
"Perth Pasties","ANTON","","$820.00","",""
"Perth Pasties","AROUT","","$590.40","",""
"Perth Pasties","BERGS","","","$393.60",""
"Perth Pasties","FAMIA","","","$779.00",""
"Perth Pasties","FRANK","","","$328.00",""
"Perth Pasties","HUNGO","","","","$93.48"
"Perth Pasties","PERIC","","$196.80","",""
"Perth Pasties","QUEDE","$334.05","","",""
"Perth Pasties","RATTC","$733.60","","",""
"Perth Pasties","SANTG","","$164.00","",""
"Perth Pasties","SAVEA","","","","$3,936.00"
"Perth Pasties","WARTH","$1,965.00","","",""
"Perth Pasties","WHITC","","$328.00","",""
"Queso Cabrales","ANTON","","$945.00","",""
"Queso Cabrales","BLAUS","","","$294.00",""
"Queso Cabrales","BLONP","","$624.75","",""
"Queso Cabrales","COMMI","$168.00","","",""
"Queso Cabrales","DRACD","","","","$420.00"
"Queso Cabrales","EASTC","","","","$105.00"
"Queso Cabrales","ERNSH","$504.00","","","$315.00"
"Queso Cabrales","FOLKO","$100.80","","",""
"Queso Cabrales","GREAL","","$63.00","",""
"Queso Cabrales","HANAR","","","","$236.25"
"Queso Cabrales","HILAA","$84.00","","",""
"Queso Cabrales","KOENE","","$299.25","",""
"Queso Cabrales","LAZYK","","$210.00","",""
"Queso Cabrales","MEREP","","$299.25","",""
"Queso Cabrales","OTTIK","$504.00","","",""
"Queso Cabrales","PICCO","$189.00","","",""
"Queso Cabrales","QUEEN","","","$210.00",""
"Queso Cabrales","REGGC","$80.64","","",""
"Queso Cabrales","SEVES","","","","$945.00"
"Queso Cabrales","WARTH","","$315.00","",""
"Queso Manchego La Pastora","ERNSH","","","$1,162.80",""
"Queso Manchego La Pastora","KOENE","","","","$1,368.00"
"Queso Manchego La Pastora","LEHMS","","$427.50","",""
"Queso Manchego La Pastora","LILAS","","$969.00","",""
"Queso Manchego La Pastora","MEREP","$456.00","","",""
"Queso Manchego La Pastora","SAVEA","","","$3,800.00",""
"Queso Manchego La Pastora","WILMK","","","","$152.00"
"Raclette Courdavault","ANTON","","$742.50","",""
"Raclette Courdavault","BLONP","","","$660.00",""
"Raclette Courdavault","BOTTM","$1,020.80","","",""
"Raclette Courdavault","ERNSH","$2,464.00","","",""
"Raclette Courdavault","FOLIG","$528.00","","",""
"Raclette Courdavault","FOLKO","","","","$1,925.00"
"Raclette Courdavault","FRANK","$1,320.00","","",""
"Raclette Courdavault","GOURL","$880.00","","",""
"Raclette Courdavault","GREAL","","","$1,402.50",""
"Raclette Courdavault","HILAA","$2,640.00","","$1,925.00",""
"Raclette Courdavault","HUNGO","","$1,760.00","","$1,963.50"
"Raclette Courdavault","ISLAT","","","","$330.00"
"Raclette Courdavault","KOENE","$1,584.00","","","$1,375.00"
"Raclette Courdavault","LEHMS","","","","$1,375.00"
"Raclette Courdavault","LONEP","","","$55.00",""
"Raclette Courdavault","MEREP","","","$1,045.00",""
"Raclette Courdavault","MORGK","","$660.00","",""
"Raclette Courdavault","NORTS","","$220.00","",""
"Raclette Courdavault","OCEAN","","$110.00","",""
"Raclette Courdavault","OLDWO","","","","$440.00"
"Raclette Courdavault","QUICK","","","","$3,850.00"
"Raclette Courdavault","RATTC","$2,640.00","","",""
"Raclette Courdavault","REGGC","","","","$522.50"
"Raclette Courdavault","SAVEA","","","","$385.00"
"Raclette Courdavault","WARTH","","","","$1,168.75"
"Raclette Courdavault","WELLI","","","","$783.75"
"Ravioli Angelo","ANTON","","$87.75","",""
"Ravioli Angelo","AROUT","","","","$780.00"
"Ravioli Angelo","BLAUS","","$78.00","",""
"Ravioli Angelo","BONAP","","","","$204.75"
"Ravioli Angelo","BSBEV","","$117.00","",""
"Ravioli Angelo","PICCO","","","$390.00",""
"Ravioli Angelo","TOMSP","$187.20","","",""
"Ravioli Angelo","WARTH","$312.00","","",""
"Rhönbräu Klosterbier","ANTON","","","$232.50",""
"Rhönbräu Klosterbier","BERGS","","$104.62","",""
"Rhönbräu Klosterbier","BLONP","$133.92","","",""
"Rhönbräu Klosterbier","ERNSH","","$387.50","","$43.40"
"Rhönbräu Klosterbier","FAMIA","","$310.00","",""
"Rhönbräu Klosterbier","FOLIG","","","$15.50",""
"Rhönbräu Klosterbier","FOLKO","$18.60","","",""
"Rhönbräu Klosterbier","FRANK","","","$193.75",""
"Rhönbräu Klosterbier","GROSR","","","","$77.50"
"Rhönbräu Klosterbier","HILAA","$223.20","$232.50","$310.00",""
"Rhönbräu Klosterbier","HUNGO","","","","$155.00"
"Rhönbräu Klosterbier","LAMAI","","","$55.80",""
"Rhönbräu Klosterbier","LEHMS","","$155.00","",""
"Rhönbräu Klosterbier","LETSS","","$162.75","",""
"Rhönbräu Klosterbier","PERIC","$62.00","","",""
"Rhönbräu Klosterbier","QUEEN","","","","$260.40"
"Rhönbräu Klosterbier","QUICK","","","","$294.50"
"Rhönbräu Klosterbier","RATTC","","","","$139.50"
"Rhönbräu Klosterbier","SAVEA","","$251.10","","$325.50"
"Rhönbräu Klosterbier","TRAIH","","$155.00","",""
"Rhönbräu Klosterbier","WHITC","","","$186.00",""
"Röd Kaviar","AROUT","","$45.00","",""
"Röd Kaviar","FOLKO","","$342.00","","$525.00"
"Röd Kaviar","FRANK","$192.00","","$750.00",""
"Röd Kaviar","HUNGC","","","$450.00",""
"Röd Kaviar","RICSU","","$135.00","","$225.00"
"Röd Kaviar","SAVEA","","","$446.25",""
"Röd Kaviar","WELLI","$216.00","","",""
"Röd Kaviar","WHITC","","","","$191.25"
"Røgede sild","ERNSH","","","","$243.67"
"Røgede sild","FRANS","","","","$38.00"
"Røgede sild","LINOD","","","$190.00",""
"Røgede sild","PERIC","","$199.50","",""
"Røgede sild","QUICK","","$807.50","",""
"Røgede sild","SAVEA","","","","$1,045.00"
"Røgede sild","VAFFE","$205.20","","",""
"Røgede sild","WARTH","","","","$323.00"
"Røgede sild","WHITC","","","","$304.00"
"Rössle Sauerkraut","ALFKI","","","$513.00",""
"Rössle Sauerkraut","BERGS","","","","$912.00"
"Rössle Sauerkraut","BLAUS","","$136.80","",""
"Rössle Sauerkraut","ERNSH","","$1,596.00","",""
"Rössle Sauerkraut","LAMAI","","$346.56","",""
"Rössle Sauerkraut","LILAS","","$912.00","",""
"Rössle Sauerkraut","LONEP","","$319.20","",""
"Rössle Sauerkraut","MAISD","","","$912.00",""
"Rössle Sauerkraut","PERIC","$655.20","","",""
"Rössle Sauerkraut","QUEEN","$1,375.92","","",""
"Rössle Sauerkraut","REGGC","$436.80","","",""
"Rössle Sauerkraut","SAVEA","$546.00","","",""
"Rössle Sauerkraut","SEVES","","","","$1,094.40"
"Rössle Sauerkraut","SUPRD","$1,092.00","","",""
"Rössle Sauerkraut","THECR","","","$456.00",""
"Rössle Sauerkraut","VAFFE","","","","$2,462.40"
"Rössle Sauerkraut","WHITC","","","","$182.40"
"Sasquatch Ale","ANTON","","$560.00","",""
"Sasquatch Ale","SAVEA","","","","$554.40"
"Sasquatch Ale","THEBI","","","","$140.00"
"Sasquatch Ale","TOMSP","$179.20","$105.00","",""
"Sasquatch Ale","VAFFE","","","","$196.00"
"Sasquatch Ale","WHITC","$372.40","","",""
"Schoggi Schokolade","MAISD","","","","$1,756.00"
"Schoggi Schokolade","OLDWO","$1,755.00","","",""
"Schoggi Schokolade","QUICK","","$5,268.00","",""
"Schoggi Schokolade","RATTC","","","$2,195.00",""
"Scottish Longbreads","CACTU","","$75.00","",""
"Scottish Longbreads","FOLIG","","","","$225.00"
"Scottish Longbreads","FOLKO","$157.50","","",""
"Scottish Longbreads","HILAA","$300.00","","",""
"Scottish Longbreads","LONEP","","","$125.00",""
"Scottish Longbreads","MAISD","","$250.00","",""
"Scottish Longbreads","MEREP","$240.00","","$187.50",""
"Scottish Longbreads","OTTIK","","","","$500.00"
"Scottish Longbreads","QUICK","","$437.50","",""
"Scottish Longbreads","RICAR","","","$180.00",""
"Scottish Longbreads","SAVEA","","","","$962.50"
"Scottish Longbreads","SIMOB","$270.00","","",""
"Scottish Longbreads","SPLIR","","","","$60.00"
"Scottish Longbreads","WOLZA","","","","$187.50"
"Singaporean Hokkien Fried Mee","ANATR","","","$70.00",""
"Singaporean Hokkien Fried Mee","BONAP","","","$399.00",""
"Singaporean Hokkien Fried Mee","BOTTM","","$212.80","",""
"Singaporean Hokkien Fried Mee","CHOPS","","","","$392.00"
"Singaporean Hokkien Fried Mee","ERNSH","","$333.20","","$159.60"
"Singaporean Hokkien Fried Mee","GOURL","","","$280.00","$224.00"
"Singaporean Hokkien Fried Mee","HILAA","","$420.00","",""
"Singaporean Hokkien Fried Mee","HUNGO","","$280.00","",""
"Singaporean Hokkien Fried Mee","MAGAA","$425.60","","",""
"Singaporean Hokkien Fried Mee","OLDWO","","","$420.00",""
"Singaporean Hokkien Fried Mee","QUICK","","","$1,120.00",""
"Singaporean Hokkien Fried Mee","SUPRD","$560.00","","","$28.00"
"Singaporean Hokkien Fried Mee","WILMK","","","$84.00",""
"Sir Rodney's Marmalade","ERNSH","","$3,159.00","",""
"Sir Rodney's Marmalade","HUNGC","","","$1,701.00",""
"Sir Rodney's Marmalade","LEHMS","","","$1,360.80",""
"Sir Rodney's Marmalade","SEVES","","$1,093.50","",""
"Sir Rodney's Scones","BLAUS","","","$80.00",""
"Sir Rodney's Scones","BSBEV","$112.00","$150.00","",""
"Sir Rodney's Scones","CHOPS","","","","$380.00"
"Sir Rodney's Scones","DUMON","","","$60.00",""
"Sir Rodney's Scones","ERNSH","$400.00","","",""
"Sir Rodney's Scones","FOLIG","","","","$400.00"
"Sir Rodney's Scones","FRANK","","","$225.00","$304.00"
"Sir Rodney's Scones","GODOS","","$54.00","",""
"Sir Rodney's Scones","GREAL","","","$108.00",""
"Sir Rodney's Scones","KOENE","$272.00","","",""
"Sir Rodney's Scones","LILAS","$240.00","","",""
"Sir Rodney's Scones","LINOD","","","","$300.00"
"Sir Rodney's Scones","MEREP","","","$420.00",""
"Sir Rodney's Scones","OCEAN","$96.00","","",""
"Sir Rodney's Scones","PRINI","$126.00","","",""
"Sir Rodney's Scones","QUEEN","$216.00","","",""
"Sir Rodney's Scones","QUICK","","","$600.00",""
"Sir Rodney's Scones","RANCH","","","","$50.00"
"Sir Rodney's Scones","SIMOB","","","$240.00",""
"Sir Rodney's Scones","WANDK","","$320.00","",""
"Sir Rodney's Scones","WHITC","","$120.00","",""
"Sirop d'érable","ERNSH","","","$2,565.00",""
"Sirop d'érable","GODOS","","$256.50","",""
"Sirop d'érable","LETSS","","","","$513.00"
"Sirop d'érable","MEREP","","","","$142.50"
"Sirop d'érable","PICCO","","$570.00","",""
"Sirop d'érable","QUICK","$364.80","","",""
"Sirop d'érable","RANCH","","","","$285.00"
"Sirop d'érable","SAVEA","$1,744.20","","",""
"Sirop d'érable","SIMOB","","","$456.00",""
"Sirop d'érable","VAFFE","","","","$570.00"
"Sirop d'érable","WANDK","","$342.00","",""
"Sirop d'érable","WARTH","$570.00","","",""
"Sirop d'érable","WHITC","","$712.50","",""
"Spegesild","ALFKI","","","$18.00",""
"Spegesild","AROUT","","","","$319.20"
"Spegesild","BLONP","$48.00","","",""
"Spegesild","COMMI","$48.00","","",""
"Spegesild","FAMIA","","$91.80","",""
"Spegesild","FRANK","","","$720.00",""
"Spegesild","LAMAI","$76.80","","",""
"Spegesild","REGGC","$192.00","","",""
"Spegesild","SAVEA","","","$540.00","$288.00"
"Spegesild","SIMOB","$14.40","","",""
"Spegesild","VICTE","$182.40","","",""
"Spegesild","WELLI","","","$226.80",""
"Spegesild","WHITC","","","","$216.00"
"Steeleye Stout","BERGS","$115.20","","",""
"Steeleye Stout","BSBEV","","$360.00","",""
"Steeleye Stout","CACTU","","$54.00","",""
"Steeleye Stout","EASTC","$504.00","","",""
"Steeleye Stout","ERNSH","","","$405.00",""
"Steeleye Stout","FOLIG","","","","$270.00"
"Steeleye Stout","FRANK","","","$486.00",""
"Steeleye Stout","FURIB","","$306.00","",""
"Steeleye Stout","GREAL","","","$72.00",""
"Steeleye Stout","LINOD","","","","$121.50"
"Steeleye Stout","MEREP","$691.20","","",""
"Steeleye Stout","QUEDE","","","$360.00","$378.00"
"Steeleye Stout","VICTE","","$540.00","",""
"Steeleye Stout","WARTH","","$108.00","",""
"Steeleye Stout","WHITC","","","","$504.00"
"Tarte au sucre","BLONP","$1,379.00","","",""
"Tarte au sucre","BSBEV","","","$493.00",""
"Tarte au sucre","CHOPS","","","","$443.70"
"Tarte au sucre","ERNSH","","","$3,352.40",""
"Tarte au sucre","FOLIG","$1,379.00","","",""
"Tarte au sucre","FRANK","","$554.62","",""
"Tarte au sucre","FRANR","","","$493.00",""
"Tarte au sucre","ISLAT","","","","$98.60"
"Tarte au sucre","KOENE","","","","$986.00"
"Tarte au sucre","LAMAI","$1,576.00","","",""
"Tarte au sucre","MEREP","","$147.90","",""
"Tarte au sucre","MORGK","","","","$986.00"
"Tarte au sucre","OTTIK","","$936.70","",""
"Tarte au sucre","QUICK","","","","$2,366.40"
"Tarte au sucre","REGGC","","$443.70","",""
"Tarte au sucre","SAVEA","","","$739.50","$1,479.00"
"Tarte au sucre","SIMOB","","","","$184.87"
"Tarte au sucre","TRADH","","","$394.40",""
"Tarte au sucre","TRAIH","","$493.00","",""
"Tarte au sucre","VAFFE","","","","$739.50"
"Tarte au sucre","VICTE","","$1,972.00","",""
"Teatime Chocolate Biscuits","FAMIA","$124.83","","",""
"Teatime Chocolate Biscuits","FRANK","","","$124.20",""
"Teatime Chocolate Biscuits","FRANS","","","","$46.00"
"Teatime Chocolate Biscuits","GODOS","","$92.00","",""
"Teatime Chocolate Biscuits","GREAL","","","$248.40",""
"Teatime Chocolate Biscuits","ISLAT","","","$46.00",""
"Teatime Chocolate Biscuits","LINOD","","","","$48.30"
"Teatime Chocolate Biscuits","QUEDE","$24.82","","$276.00",""
"Teatime Chocolate Biscuits","QUEEN","$36.50","","",""
"Teatime Chocolate Biscuits","QUICK","","","","$437.00"
"Teatime Chocolate Biscuits","RICAR","$292.00","","",""
"Teatime Chocolate Biscuits","SAVEA","","$257.60","","$110.40"
"Teatime Chocolate Biscuits","SUPRD","$153.30","","",""
"Teatime Chocolate Biscuits","TOMSP","$166.44","","",""
"Teatime Chocolate Biscuits","TORTU","","","$64.40",""
"Teatime Chocolate Biscuits","WANDK","","","$82.80",""
"Teatime Chocolate Biscuits","WARTH","$146.00","","",""
"Teatime Chocolate Biscuits","WELLI","","","","$209.76"
"Thüringer Rostbratwurst","BOLID","","","","$1,856.85"
"Thüringer Rostbratwurst","EASTC","$2,079.00","","",""
"Thüringer Rostbratwurst","ERNSH","","","","$1,411.21"
"Thüringer Rostbratwurst","FRANK","","","","$1,646.41"
"Thüringer Rostbratwurst","GODOS","","","$2,475.80",""
"Thüringer Rostbratwurst","HUNGO","","","$1,237.90",""
"Thüringer Rostbratwurst","LAMAI","","","","$2,352.01"
"Thüringer Rostbratwurst","LEHMS","","","","$2,228.22"
"Thüringer Rostbratwurst","QUICK","","","","$4,951.60"
"Thüringer Rostbratwurst","RICSU","","","$4,456.44",""
"Thüringer Rostbratwurst","SAVEA","$2,019.60","$4,456.44","",""
"Thüringer Rostbratwurst","THECR","","","$742.74",""
"Thüringer Rostbratwurst","VAFFE","$1,603.80","","",""
"Thüringer Rostbratwurst","WARTH","","$1,237.90","",""
"Tofu","ANATR","","","$69.75",""
"Tofu","BERGS","","","","$372.00"
"Tofu","ERNSH","","$217.39","",""
"Tofu","FRANK","","","$1,185.75",""
"Tofu","GREAL","","","$62.77",""
"Tofu","HUNGO","","$1,627.50","",""
"Tofu","OCEAN","$223.20","","",""
"Tofu","OTTIK","","$331.31","",""
"Tofu","PERIC","$223.20","","",""
"Tofu","PICCO","$651.00","","",""
"Tofu","QUEDE","","","","$279.00"
"Tofu","SAVEA","","$558.00","",""
"Tofu","WARTH","$334.80","","","$98.81"
"Tourtière","BERGS","$88.50","$111.75","$40.23",""
"Tourtière","BLAUS","","$149.00","",""
"Tourtière","ERNSH","$472.00","","",""
"Tourtière","FAMIA","","","$223.50",""
"Tourtière","FOLIG","$35.40","","",""
"Tourtière","FRANK","","","","$111.75"
"Tourtière","HUNGC","","","$29.80",""
"Tourtière","KOENE","","$169.86","",""
"Tourtière","LEHMS","","$59.60","",""
"Tourtière","LETSS","","","","$223.50"
"Tourtière","QUEDE","","","","$35.76"
"Tourtière","QUEEN","$106.20","","",""
"Tourtière","SAVEA","","","$223.50",""
"Tourtière","SEVES","","","","$46.93"
"Tourtière","SPLIR","$236.00","","",""
"Tourtière","VAFFE","","","$372.50",""
"Tourtière","VICTE","$28.32","","",""
"Tourtière","WARTH","","","","$17.88"
"Tourtière","WHITC","","","","$379.95"
"Tourtière","WOLZA","","","","$22.35"
"Tunnbröd","BONAP","$108.00","","",""
"Tunnbröd","CONSH","$151.20","","",""
"Tunnbröd","ERNSH","$432.00","","",""
"Tunnbröd","FRANK","","","$288.00",""
"Tunnbröd","ISLAT","","","$135.00",""
"Tunnbröd","LAUGB","","$72.00","",""
"Tunnbröd","LILAS","","$535.50","",""
"Tunnbröd","OTTIK","","$171.00","",""
"Tunnbröd","SAVEA","","","","$396.00"
"Uncle Bob's Organic Dried Pears","BONAP","","$1,275.00","",""
"Uncle Bob's Organic Dried Pears","BSBEV","$720.00","","",""
"Uncle Bob's Organic Dried Pears","FOLIG","","","$1,050.00",""
"Uncle Bob's Organic Dried Pears","GOURL","","","","$76.50"
"Uncle Bob's Organic Dried Pears","OTTIK","","","","$1,050.00"
"Uncle Bob's Organic Dried Pears","QUICK","","","","$2,700.00"
"Uncle Bob's Organic Dried Pears","SAVEA","","","$1,350.00",""
"Uncle Bob's Organic Dried Pears","VAFFE","","","$300.00",""
"Uncle Bob's Organic Dried Pears","VICTE","$364.80","$300.00","",""
"Valkoinen suklaa","HUNGO","$520.00","","",""
"Valkoinen suklaa","LINOD","","","","$650.00"
"Valkoinen suklaa","QUEEN","","","$385.94",""
"Valkoinen suklaa","RICSU","","","","$292.50"
"Valkoinen suklaa","VAFFE","$325.00","","",""
"Vegie-spread","ALFKI","","","","$878.00"
"Vegie-spread","ERNSH","$2,281.50","","",""
"Vegie-spread","FOLIG","","","","$1,317.00"
"Vegie-spread","HUNGO","$921.37","","",""
"Vegie-spread","MORGK","","$263.40","",""
"Vegie-spread","PICCO","","","","$395.10"
"Vegie-spread","WHITC","","","$842.88",""
"Wimmers gute Semmelknödel","BLONP","$718.20","","",""
"Wimmers gute Semmelknödel","BONAP","$212.80","","",""
"Wimmers gute Semmelknödel","GALED","$186.20","","",""
"Wimmers gute Semmelknödel","GODOS","","","$299.25",""
"Wimmers gute Semmelknödel","GREAL","","","$931.00",""
"Wimmers gute Semmelknödel","HILAA","","","","$931.00"
"Wimmers gute Semmelknödel","LEHMS","","$997.50","",""
"Wimmers gute Semmelknödel","MEREP","$159.60","$538.65","",""
"Wimmers gute Semmelknödel","QUICK","$837.90","","",""
"Wimmers gute Semmelknödel","RATTC","$798.00","","",""
"Wimmers gute Semmelknödel","SAVEA","","","","$798.00"
"Wimmers gute Semmelknödel","TRAIH","","$199.50","",""
"Wimmers gute Semmelknödel","WANDK","","","$448.87",""
"Zaanse koeken","AROUT","","$237.50","",""
"Zaanse koeken","BONAP","","","","$213.75"
"Zaanse koeken","BOTTM","$171.00","","",""
"Zaanse koeken","FAMIA","","$48.45","",""
"Zaanse koeken","FOLIG","$228.00","","",""
"Zaanse koeken","FOLKO","","","","$285.00"
"Zaanse koeken","FRANS","","","","$47.50"
"Zaanse koeken","GOURL","","","$142.50",""
"Zaanse koeken","GREAL","","","$51.30",""
"Zaanse koeken","MORGK","","","","$114.00"
"Zaanse koeken","OTTIK","","","$380.00",""
"Zaanse koeken","QUICK","$418.00","","",""
"Zaanse koeken","SAVEA","","","$95.00","$356.25"
"Zaanse koeken","WELLI","","","$142.50",""
